Purple Coordinates;Orange Coordinates
(1178, 57);(854, 598)
(1178, 55);(854, 598)
(1176, 48);(858, 592)
(1175, 44);(858, 592)
(1176, 44);(855, 596)
(1178, 49);(853, 596)
(1178, 49);(854, 596)
(1180, 49);(854, 598)
(1182, 50);(854, 598)
(1184, 50);(854, 598)
(1186, 49);(855, 598)
(1182, 51);(855, 598)
(1182, 51);(860, 594)
(1178, 49);(857, 599)
(1178, 49);(858, 599)
(1178, 49);(858, 599)
(1177, 40);(859, 598)
(1178, 45);(860, 600)
(1181, 44);(860, 599)
(1181, 44);(860, 600)
(1181, 43);(860, 599)
(1177, 46);(861, 599)
(1176, 47);(861, 598)
(1176, 47);(862, 598)
(1176, 47);(862, 598)
(1176, 48);(862, 599)
(1176, 47);(863, 598)
(1176, 47);(864, 599)
(1174, 47);(864, 599)
(1172, 47);(863, 598)
(1172, 47);(868, 595)
(1177, 47);(863, 600)
(1174, 51);(863, 600)
(1174, 52);(864, 600)
(1174, 51);(864, 601)
(1178, 47);(864, 601)
(1174, 46);(864, 601)
(1174, 43);(863, 602)
(1174, 43);(861, 600)
(1174, 43);(868, 599)
(1174, 40);(859, 598)
(1176, 47);(866, 599)
(1179, 49);(864, 600)
(1178, 47);(864, 601)
(1178, 47);(864, 601)
(1172, 45);(864, 601)
(1172, 45);(862, 600)
(1172, 45);(862, 600)
(1175, 53);(853, 600)
(1176, 53);(853, 600)
(1176, 53);(853, 600)
(1176, 53);(855, 601)
(1176, 53);(855, 603)
(1176, 54);(855, 603)
(1176, 55);(855, 603)
(1176, 48);(854, 603)
(1176, 55);(854, 603)
(1176, 55);(854, 603)
(1176, 55);(854, 603)
(1176, 53);(854, 603)
(1176, 53);(859, 603)
(1172, 46);(859, 602)
(1172, 45);(859, 602)
(1172, 45);(857, 600)
(1176, 52);(855, 599)
(1176, 53);(855, 599)
(1176, 46);(855, 599)
(1176, 52);(858, 600)
(1176, 52);(858, 600)
(1176, 51);(858, 600)
(1174, 44);(859, 600)
(1174, 44);(857, 600)
(1174, 44);(856, 600)
(1176, 51);(856, 600)
(1176, 52);(855, 601)
(1176, 52);(854, 602)
(1176, 54);(852, 603)
(1174, 54);(854, 603)
(1174, 54);(855, 603)
(1174, 54);(856, 604)
(1172, 53);(856, 605)
(1172, 53);(858, 605)
(1172, 53);(858, 605)
(1173, 53);(858, 607)
(1173, 53);(859, 607)
(1174, 55);(859, 607)
(1178, 52);(859, 608)
(1174, 55);(866, 607)
(1174, 55);(867, 608)
(1174, 53);(867, 608)
(1177, 51);(867, 607)
(1172, 51);(867, 607)
(1172, 51);(867, 607)
(1172, 51);(864, 605)
(1172, 51);(864, 605)
(1172, 51);(861, 605)
(1172, 51);(860, 605)
(1172, 51);(861, 605)
(1172, 51);(866, 601)
(1172, 46);(866, 601)
(1172, 46);(867, 600)
(1172, 46);(868, 601)
(1172, 46);(869, 602)
(1172, 45);(869, 601)
(1170, 46);(868, 601)
(1170, 46);(869, 602)
(1168, 53);(869, 603)
(1168, 53);(866, 603)
(1168, 53);(869, 603)
(1166, 51);(869, 599)
(1164, 49);(869, 599)
(1162, 45);(866, 599)
(1160, 38);(866, 601)
(1160, 38);(866, 601)
(1160, 38);(865, 601)
(1160, 38);(862, 599)
(1162, 38);(863, 599)
(1162, 38);(863, 599)
(1165, 41);(863, 598)
(1162, 38);(863, 598)
(1162, 38);(864, 597)
(1162, 38);(866, 596)
(1162, 38);(867, 595)
(1166, 47);(866, 594)
(1166, 47);(866, 593)
(1166, 47);(866, 595)
(1166, 47);(866, 594)
(1168, 48);(866, 594)
(1168, 49);(866, 595)
(1168, 49);(866, 595)
(1168, 49);(866, 597)
(1172, 46);(868, 598)
(1168, 47);(868, 598)
(1168, 46);(869, 600)
(1166, 47);(866, 600)
(1168, 48);(866, 600)
(1168, 48);(866, 598)
(1166, 42);(866, 598)
(1168, 42);(865, 598)
(1167, 48);(859, 604)
(1162, 38);(863, 605)
(1162, 38);(862, 605)
(1162, 38);(863, 605)
(1162, 38);(864, 604)
(1163, 44);(864, 604)
(1162, 40);(859, 607)
(1164, 47);(859, 607)
(1167, 45);(859, 607)
(1167, 45);(859, 607)
(1164, 48);(864, 603)
(1164, 48);(864, 603)
(1164, 50);(867, 603)
(1168, 44);(867, 603)
(1168, 44);(868, 602)
(1168, 44);(868, 602)
(1170, 50);(868, 602)
(1172, 51);(869, 602)
(1174, 49);(869, 601)
(1172, 54);(868, 601)
(1174, 55);(864, 598)
(1173, 49);(862, 601)
(1174, 52);(861, 597)
(1174, 52);(858, 599)
(1174, 52);(862, 599)
(1174, 52);(862, 599)
(1176, 52);(862, 599)
(1176, 50);(866, 596)
(1172, 50);(863, 599)
(1170, 54);(864, 599)
(1166, 46);(864, 599)
(1166, 46);(865, 599)
(1168, 46);(866, 599)
(1168, 46);(875, 596)
(1168, 46);(875, 596)
(1168, 46);(875, 596)
(1168, 46);(869, 595)
(1168, 52);(862, 602)
(1168, 55);(862, 602)
(1170, 56);(862, 602)
(1169, 50);(862, 600)
(1170, 58);(864, 598)
(1170, 58);(868, 596)
(1169, 52);(866, 596)
(1168, 60);(866, 594)
(1170, 54);(862, 597)
(1170, 54);(861, 594)
(1169, 52);(860, 590)
(1170, 50);(856, 587)
(1168, 48);(850, 586)
(1168, 53);(850, 586)
(1168, 53);(850, 586)
(1168, 53);(855, 587)
(1168, 53);(856, 586)
(1170, 53);(856, 586)
(1170, 48);(855, 586)
(1174, 55);(856, 588)
(1174, 55);(856, 588)
(1174, 49);(856, 592)
(1170, 54);(867, 596)
(1170, 54);(871, 593)
(1170, 54);(871, 593)
